product_number | sold_by |                       name                        |          color          | price  |                                                                                                                                description                                                                                                                                 | on_sale | available |     item_type      | stock |       size       | discount_pr 
----------------+---------+---------------------------------------------------+-------------------------+--------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------+--------------------+-------+------------------+-------------
 5678253444     | BDJIMDF | Ray-Ban RX5154 Clubmaster                         | Brown/Grey Striped      |    189 |                                                                                                                                                                                                                                                                            | f       | t         | Glasses            |    19 |                  |            
 2098475123     | BDJIMDF | Michael Kors                                      | Clear                   |    136 |                                                                                                                                                                                                                                                                            | f       | t         | Glasses            |    13 |                  |            
 1234567890     | AAAAAAA | Aerie Holiday Best Lace Padded Racerback Bralette | Monaco Blue             |  39.95 | Flower power is for everyone! Feel your greatest in this season"s Holiday Best Lace.                                                                                                                                                                                       | t       | t         | Bralette           |    30 | M                |       27.96
 1234567891     | AAAAAAA | Aerie Holiday Best Lace Padded Racerback Bralette | Hazel                   |  39.95 | Flower power is for everyone! Feel your greatest in this season"s Holiday Best Lace.                                                                                                                                                                                       | t       | t         | Bralette           |    20 | M                |       27.96
 1234567892     | AAAAAAA | Aerie Holiday Best Lace Padded Racerback Bralette | Fresh Bright            |  39.95 | Flower power is for everyone! Feel your greatest in this season"s Holiday Best Lace.                                                                                                                                                                                       | t       | t         | Bralette           |    40 | XS               |       27.96
 1234567880     | AAAAAAA | Aerie Real Sunnie Demi Push Up Blossom Lace Bra   | Earthy Vibes            |  49.95 | Feel comfy in this season"s extra soft Blossom lace.                                                                                                                                                                                                                       | t       | f         | Bralette           |     8 | 36D              |       34.96
 0900276151     | BBBBBBB | White Barn Forest Adventures                      |                         |   14.5 | Crisp Bergamot, Patchouli, Lily of the Valley with Natural Essential Oils. Awaken your senses with the energy of the outdoors! These nature-inspired fragrances were developed with nature-identical ingredients through a patented technology called Phytogaia.           | f       | t         | Single wick candle |    12 |                  |          10
 1347346234     | ABABABA | Ryka                                              | Black                   | 109.99 | Level up all your outdoor adventures in this exceptional water-repellent trail sneaker from our fEMPOWER collection, featuring our most premium materials and innovative technology.                                                                                       | f       | t         | Athletic shoes     |     4 | Women"s 9        |            
 1347346235     | ABABABA | Ryka                                              | Paloma Grey             | 109.99 | Level up all your outdoor adventures in this exceptional water-repellent trail sneaker from our fEMPOWER collection, featuring our most premium materials and innovative technology.                                                                                       | f       | t         | Athletic shoes     |     1 | Women"s 5.5      |            
 1120939482     | BDFUHEF | The North Face Youth Sierra Etip Gloves           | TNF Medium Grey Heather |     29 | Standard fit gloves, lightweight, 5 Dimensional Fit ensures consistent sizing, youth-specific Radiametric Articulation keeps hands in their natural relaxed position                                                                                                       | f       | f         | Gloves             |     0 | Children"s small |       19.99
 6589770381     | ASDSDDD | Men"s Adidas ZX 1K Boost Athletic Shoe            | Beige Tone              | 109.99 | Lace up a retro runner made for the city streets with the new ZX 1K Boost Athletic Shoe from adidas!                                                                                                                                                                       | f       | t         | Athletic Shoes     |    12 | Men"s 8          |            
 1029239402     | HIHIHIH | Ghost of Tsushima Director"s Cut - PlayStation 5  |                         |  64.99 | In the late 13th century, the Mongol empire has laid waste to entire nations along their campaign to conquer the East. Tsushima Island is all that stands between mainland Japan and a massive Mongol invasion fleet led by the ruthless and cunning general, Khotun Khan. | f       | t         | Video game         |     2 |                  |       39.99
